<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FEES;D;111122;000000;0.0877200;0.0878000;0.0860000;0.0873000;734190000
FEES;D;141122;000000;0.0870000;0.0907600;0.0868200;0.0895400;758990000
FEES;D;151122;000000;0.0897000;0.0897400;0.0840200;0.0865400;1257840000
FEES;D;161122;000000;0.0869600;0.0876600;0.0865000;0.0875000;712020000
FEES;D;171122;000000;0.0874400;0.0883800;0.0867200;0.0874600;398900000
FEES;D;181122;000000;0.0875200;0.0879000;0.0855000;0.0869800;591470000
FEES;D;211122;000000;0.0870600;0.0874200;0.0851200;0.0861400;511110000
FEES;D;221122;000000;0.0860000;0.0873400;0.0842000;0.0865400;561460000
FEES;D;231122;000000;0.0869800;0.0872600;0.0851400;0.0861400;632220000
FEES;D;241122;000000;0.0867200;0.0876000;0.0863800;0.0870000;476950000
FEES;D;251122;000000;0.0874800;0.0876000;0.0868200;0.0872200;434980000
FEES;D;281122;000000;0.0872000;0.0876000;0.0856600;0.0864400;821610000
FEES;D;291122;000000;0.0867600;0.0873000;0.0860400;0.0870800;390980000
FEES;D;301122;000000;0.0871200;0.0871600;0.0861000;0.0865800;407270000
FEES;D;011222;000000;0.0866800;0.0872000;0.0860400;0.0866000;302050000
FEES;D;021222;000000;0.0866000;0.0866000;0.0856800;0.0860000;272700000
FEES;D;051222;000000;0.0859800;0.0865200;0.0852800;0.0857600;433650000
FEES;D;061222;000000;0.0858400;0.0861800;0.0847000;0.0849800;408030000
FEES;D;071222;000000;0.0849000;0.0868600;0.0841200;0.0861400;1037680000
FEES;D;081222;000000;0.0861200;0.0864400;0.0849400;0.0857200;373210000
FEES;D;091222;000000;0.0857400;0.0857400;0.0847600;0.0850600;248990000
FEES;D;121222;000000;0.0850600;0.0852000;0.0844600;0.0846800;383880000
FEES;D;131222;000000;0.0850800;0.0851800;0.0845800;0.0846000;438220000
FEES;D;141222;000000;0.0846800;0.0860000;0.0844200;0.0848800;401650000
FEES;D;151222;000000;0.0845600;0.0859000;0.0840000;0.0848000;415830000
FEES;D;161222;000000;0.0849400;0.0855200;0.0846000;0.0849400;298910000
FEES;D;191222;000000;0.0848800;0.0849400;0.0828600;0.0837600;715960000
FEES;D;201222;000000;0.0836000;0.0882000;0.0835000;0.0863400;2329670000
FEES;D;110123;000000;0.0893200;0.0938800;0.0865400;0.0879000;3807720000
FEES;D;120123;000000;0.0880000;0.0880000;0.0863400;0.0873600;786080000
FEES;D;130123;000000;0.0874200;0.0874600;0.0865200;0.0873000;1000540000
FEES;D;160123;000000;0.0875000;0.0879400;0.0866400;0.0873000;1106460000
FEES;D;170123;000000;0.0873000;0.0873400;0.0855000;0.0856400;708770000
FEES;D;180123;000000;0.0853000;0.0867400;0.0850000;0.0854800;727480000
FEES;D;190123;000000;0.0855800;0.0859000;0.0845000;0.0856600;647510000
FEES;D;200123;000000;0.0854800;0.0863800;0.0847200;0.0850200;557850000
FEES;D;230123;000000;0.0854800;0.0857800;0.0849200;0.0854600;338880000
FEES;D;240123;000000;0.0854800;0.0855800;0.0848200;0.0850400;373550000
FEES;D;250123;000000;0.0850400;0.0850400;0.0845000;0.0848200;364850000
FEES;D;260123;000000;0.0849800;0.0852000;0.0844600;0.0849800;629200000
FEES;D;270123;000000;0.0849800;0.0865200;0.0847000;0.0864000;622030000
FEES;D;300123;000000;0.0865000;0.0871000;0.0857000;0.0869200;612800000
FEES;D;310123;000000;0.0869200;0.0876000;0.0841000;0.0865000;590110000
FEES;D;010223;000000;0.0867200;0.0874800;0.0860000;0.0865800;438590000
FEES;D;020223;000000;0.0866800;0.0870200;0.0860600;0.0862000;323040000
FEES;D;030223;000000;0.0862000;0.0867600;0.0857600;0.0862800;385260000
